"generator","gen_capacity","var_cost","type"
"GEN_122073_FARIDAB2_220_G1",137,2840,"gas_ccgt"
"GEN_122073_FARIDAB2_220_G2",137,2840,"gas_ccgt"
"GEN_122073_FARIDAB2_220_S1",156,2840,"gas_ccgt"
"GEN_131116_RAMGARH21_132_1",35.5,2520,"gas_ccgt"
"GEN_131116_RAMGARH21_132_2",37.5,2520,"gas_ccgt"
"GEN_131116_RAMGARH21_132_3",37.5,2520,"gas_ccgt"
"GEN_132021_DHOLPU-4_220_1",110,3020,"gas_ccgt"
"GEN_132021_DHOLPU-4_220_2",110,3020,"gas_ccgt"
"GEN_132021_DHOLPU-4_220_3",110,3020,"gas_ccgt"
"GEN_132113_RAMGARH_220_4",50,2520,"gas_ccgt"
"GEN_132113_RAMGARH_220_5",110,2520,"gas_ccgt"
"GEN_134029_ANTA2_220_G1",88.7,3260,"gas_ccgt"
"GEN_134029_ANTA2_220_G2",88.7,3260,"gas_ccgt"
"GEN_134029_ANTA2_220_G3",88.7,3260,"gas_ccgt"
"GEN_134029_ANTA2_220_S1",153.2,3260,"gas_ccgt"
"GEN_140001_DEL_GAS6_66_G1",30,2040,"gas_ccgt"
"GEN_140001_DEL_GAS6_66_G2",30,2040,"gas_ccgt"
"GEN_140001_DEL_GAS6_66_G3",30,2040,"gas_ccgt"
"GEN_140001_DEL_GAS6_66_G4",30,2040,"gas_ccgt"
"GEN_140001_DEL_GAS6_66_G5",30,2040,"gas_ccgt"
"GEN_140001_DEL_GAS6_66_G6",30,2040,"gas_ccgt"
"GEN_140001_DEL_GAS6_66_S1",34,2040,"gas_ccgt"
"GEN_140001_DEL_GAS6_66_S2",34,2040,"gas_ccgt"
"GEN_140001_DEL_GAS6_66_S3",34,2040,"gas_ccgt"
"GEN_140005_RAJGHATG_33_1",67.5,3781,"gas_ccgt"
"GEN_140005_RAJGHATG_33_2",67.5,3781,"gas_ccgt"
"GEN_142003_PRAGATI_BDR_220_G1",104.6,4420,"gas_ccgt"
"GEN_142007_PRAGATI_MND_220_G2",104.6,4420,"gas_ccgt"
"GEN_142007_PRAGATI_MND_220_S1",121.2,4420,"gas_ccgt"
"GEN_144000_BAWANA-G_400_G1",216,3080,"gas_ccgt"
"GEN_144000_BAWANA-G_400_G2",216,3080,"gas_ccgt"
"GEN_144000_BAWANA-G_400_G3",250,3080,"gas_ccgt"
"GEN_144000_BAWANA-G_400_G4",250,3080,"gas_ccgt"
"GEN_144000_BAWANA-G_400_S1",250,3080,"gas_ccgt"
"GEN_144000_BAWANA-G_400_S2",250,3080,"gas_ccgt"
"GEN_152103_DADRI_G2_220_G1",130.19,4170,"gas_ccgt"
"GEN_152103_DADRI_G2_220_G2",130.19,4170,"gas_ccgt"
"GEN_152103_DADRI_G2_220_G3",130.19,4170,"gas_ccgt"
"GEN_152103_DADRI_G2_220_G4",130.19,4170,"gas_ccgt"
"GEN_152103_DADRI_G2_220_S1",154.51,4170,"gas_ccgt"
"GEN_152103_DADRI_G2_220_S2",154.51,4170,"gas_ccgt"
"GEN_154060_AURYA2_220_G1",111.19,4360,"gas_ccgt"
"GEN_154060_AURYA2_220_G2",111.19,4360,"gas_ccgt"
"GEN_154060_AURYA2_220_G3",111.19,4360,"gas_ccgt"
"GEN_154060_AURYA2_220_G4",111.19,4360,"gas_ccgt"
"GEN_154060_AURYA2_220_S1",109.3,4360,"gas_ccgt"
"GEN_154060_AURYA2_220_S2",109.3,4360,"gas_ccgt"
"GEN_181027_PAMPORE1_132_1",25,15000,"gas_ccgt"
"GEN_181027_PAMPORE1_132_2",25,15000,"gas_ccgt"
"GEN_181027_PAMPORE1_132_3",25,15000,"gas_ccgt"
"GEN_181027_PAMPORE1_132_4",25,15000,"gas_ccgt"
"GEN_181027_PAMPORE1_132_5",25,15000,"gas_ccgt"
"GEN_181027_PAMPORE1_132_6",25,15000,"gas_ccgt"
"GEN_181027_PAMPORE1_132_7",25,15000,"gas_ccgt"
"GEN_312132_KAWAS2_220_G1",106,3600,"gas_ccgt"
"GEN_312132_KAWAS2_220_G2",106,3600,"gas_ccgt"
"GEN_312132_KAWAS2_220_G3",106,3600,"gas_ccgt"
"GEN_312132_KAWAS2_220_G4",116,3600,"gas_ccgt"
"GEN_312132_KAWAS2_220_S1",106,3600,"gas_ccgt"
"GEN_312132_KAWAS2_220_S2",116,3600,"gas_ccgt"
"GEN_312133_GANCS2_220_G1",167,5500,"gas_ccgt"
"GEN_312133_GANCS2_220_G2",167,5500,"gas_ccgt"
"GEN_312133_GANCS2_220_G3",167,5500,"gas_ccgt"
"GEN_312133_GANCS2_220_ST",236.9,5500,"gas_ccgt"
"GEN_412022_VIJESM-I_220_1",33,3819.08362810132,"gas_ccgt"
"GEN_412022_VIJESM-I_220_2",33,3819.08362810132,"gas_ccgt"
"GEN_412022_VIJESM-I_220_3",34,3819.08362810132,"gas_ccgt"
"GEN_412041_JEGRUADU_220_1",45.8,2620,"gas_ccgt"
"GEN_412041_JEGRUADU_220_2",45.8,2620,"gas_ccgt"
"GEN_412041_JEGRUADU_220_3",48.9,2620,"gas_ccgt"
"GEN_412041_JEGRUADU_220_4",75.5,2620,"gas_ccgt"
"GEN_412042_SPECTRUM_220_1",46.8,2761.5625,"gas_ccgt"
"GEN_412042_SPECTRUM_220_2",46.1,2761.5625,"gas_ccgt"
"GEN_412042_SPECTRUM_220_3",46.1,2761.5625,"gas_ccgt"
"GEN_412042_SPECTRUM_220_4",68.8,2761.5625,"gas_ccgt"
"GEN_412045_VIJHE-II_220_1",112.5,3819.08362810132,"gas_ccgt"
"GEN_412045_VIJHE-II_220_2",59.5,3819.08362810132,"gas_ccgt"
"GEN_412049_KONAPGS_220_1",115,3819.08362810132,"gas_ccgt"
"GEN_412049_KONAPGS_220_2",115,3819.08362810132,"gas_ccgt"
"GEN_412049_KONAPGS_220_3",125,3819.08362810132,"gas_ccgt"
"GEN_412057_RELIANCE_220_1",140,5450,"gas_ccgt"
"GEN_412057_RELIANCE_220_2",80,5450,"gas_ccgt"
"GEN_412071_GMRBORGE_220_1",237,3819.08362810132,"gas_ccgt"
"GEN_412072_VSP_220_1",286.5,3819.08362810132,"gas_ccgt"
"GEN_414015_GMR_400_1",233,5280,"gas_ccgt"
"GEN_414015_GMR_400_2",137,5280,"gas_ccgt"
"GEN_414016_GAUTAMI_400_1",145,6580,"gas_ccgt"
"GEN_414016_GAUTAMI_400_2",145,6580,"gas_ccgt"
"GEN_414016_GAUTAMI_400_3",174,6580,"gas_ccgt"
"GEN_414017_KONSEEMA_400_1",146,3819.08362810132,"gas_ccgt"
"GEN_414017_KONSEEMA_400_2",140,3819.08362810132,"gas_ccgt"
"GEN_414017_KONSEEMA_400_3",165,3819.08362810132,"gas_ccgt"
"GEN_414018_GVK-II_400_1",145,2635.21126760563,"gas_ccgt"
"GEN_414018_GVK-II_400_2",75,2635.21126760563,"gas_ccgt"
"GEN_414019_LANCO_400_1",233,2282.95819935691,"gas_ccgt"
"GEN_414019_LANCO_400_2",133,2282.95819935691,"gas_ccgt"
"GEN_441057_LNCO_TAJ_110_1",74.4,2347.46,"gas_ccgt"
"GEN_441057_LNCO_TAJ_110_2",38.8,2347.46,"gas_ccgt"
"GEN_441059_PINR_EL1_110_1",85,2809.16,"gas_ccgt"
"GEN_441060_PINR_EL2_110_1",56.6,2809.16,"gas_ccgt"
"GEN_441081_KKGTP_110_1",70,2600,"gas_ccgt"
"GEN_441081_KKGTP_110_2",37.88,2600,"gas_ccgt"
"GEN_441181_KUTGTP_110_1",64,2600,"gas_ccgt"
"GEN_441181_KUTGTP_110_2",37,2600,"gas_ccgt"
"GEN_442062_PPNALUR2_230_1",330,8540,"gas_ccgt"
"GEN_451115_KPCL_110_1",7.3,7000,"gas_ccgt"
"GEN_451115_KPCL_110_2",7.3,7000,"gas_ccgt"
"GEN_451115_KPCL_110_3",7.3,7000,"gas_ccgt"
"GEN_521059_NTPS1_132_5",24,3540,"gas_ccgt"
"GEN_522014_AGBPP2_220_1",35.68,4160,"gas_ccgt"
"GEN_522014_AGBPP2_220_2",35.68,4160,"gas_ccgt"
"GEN_522014_AGBPP2_220_3",35.68,4160,"gas_ccgt"
"GEN_522014_AGBPP2_220_4",35.68,4160,"gas_ccgt"
"GEN_522014_AGBPP2_220_5",36.15,4160,"gas_ccgt"
"GEN_522014_AGBPP2_220_6",36.15,4160,"gas_ccgt"
"GEN_522014_AGBPP2_220_7",30,4160,"gas_ccgt"
"GEN_522014_AGBPP2_220_8",30,4160,"gas_ccgt"
"GEN_522014_AGBPP2_220_9",30,4160,"gas_ccgt"
"GEN_571004_AGTPP1_132_G1",21,4490,"gas_ccgt"
"GEN_571004_AGTPP1_132_G2",21,4490,"gas_ccgt"
"GEN_571004_AGTPP1_132_G3",21,4490,"gas_ccgt"
"GEN_571004_AGTPP1_132_G4",21,4490,"gas_ccgt"
"GEN_571004_AGTPP1_132_S1",25,4490,"gas_ccgt"
"GEN_571004_AGTPP1_132_S2",25,4490,"gas_ccgt"
"GEN_574001_PALATAN4_400_G1",233,3060,"gas_ccgt"
"GEN_574001_PALATAN4_400_G2",233,3060,"gas_ccgt"
"GEN_574001_PALATAN4_400_S1",130,3060,"gas_ccgt"
"GEN_574001_PALATAN4_400_S2",130,3060,"gas_ccgt"
"GEN_311023_AECOM1_132_F",110,4062.91666666667,"gas_ccgt"
"GEN_311023_AECOM1_132_G1",32.5,4062.91666666667,"gas_ccgt"
"GEN_311023_AECOM1_132_G2",32.5,4062.91666666667,"gas_ccgt"
"GEN_311023_AECOM1_132_S1",35,4062.91666666667,"gas_ccgt"
"GEN_311024_GIPCL1_132_G1",32,4000,"gas_ccgt"
"GEN_311024_GIPCL1_132_G2",32,4000,"gas_ccgt"
"GEN_311024_GIPCL1_132_G3",32,4000,"gas_ccgt"
"GEN_311024_GIPCL1_132_G4",49,4000,"gas_ccgt"
"GEN_311024_GIPCL1_132_S1",106,4000,"gas_ccgt"
"GEN_311024_GIPCL1_132_S2",54,4000,"gas_ccgt"
"GEN_312029_UTRAN2_220_G1",33,2750,"gas_ccgt"
"GEN_312029_UTRAN2_220_G2",33,2750,"gas_ccgt"
"GEN_312029_UTRAN2_220_G3",33,2750,"gas_ccgt"
"GEN_312029_UTRAN2_220_G4",239,2750,"gas_ccgt"
"GEN_312029_UTRAN2_220_S1",45,2750,"gas_ccgt"
"GEN_312029_UTRAN2_220_S2",153,2750,"gas_ccgt"
"GEN_312036_GPEC2_220_G1",138,5500,"gas_ccgt"
"GEN_312036_GPEC2_220_G2",138,5500,"gas_ccgt"
"GEN_312036_GPEC2_220_G3",138,5500,"gas_ccgt"
"GEN_312036_GPEC2_220_S1",241,5500,"gas_ccgt"
"GEN_312076_GSEG_220_G1",52,2360,"gas_ccgt"
"GEN_312076_GSEG_220_G2",52,2360,"gas_ccgt"
"GEN_312076_GSEG_220_ST",52.1,2360,"gas_ccgt"
"GEN_312078_GACL_220_1",34.65,4062.91666666667,"gas_ccgt"
"GEN_312078_GACL_220_2",34.65,4062.91666666667,"gas_ccgt"
"GEN_312078_GACL_220_ST",32.55,4062.91666666667,"gas_ccgt"
"GEN_312125_HAZR-EXT_220_GT",350,2250,"gas_ccgt"
"GEN_312126_PIPAVAV_220_1",350,4062.91666666667,"gas_ccgt"
"GEN_312129_BHANDER_220_1",105,4062.91666666667,"gas_ccgt"
"GEN_312129_BHANDER_220_2",105,4062.91666666667,"gas_ccgt"
"GEN_312129_BHANDER_220_3",105,4062.91666666667,"gas_ccgt"
"GEN_314010_SUGEN_400_G1",380,6420,"gas_ccgt"
"GEN_314010_SUGEN_400_G2",380,6420,"gas_ccgt"
"GEN_314010_SUGEN_400_G3",380,6420,"gas_ccgt"
"GEN_314029_SUGEN-UN_400_4",380,6420,"gas_ccgt"
"GEN_314030_DGEN_400_1",380,4062.91666666667,"gas_ccgt"
"GEN_314030_DGEN_400_2",380,4062.91666666667,"gas_ccgt"
"GEN_314030_DGEN_400_3",380,4062.91666666667,"gas_ccgt"
"GEN_332005_URAN2_220_5",108,2520,"gas_ccgt"
"GEN_332005_URAN2_220_6",108,2520,"gas_ccgt"
"GEN_332005_URAN2_220_7",108,2520,"gas_ccgt"
"GEN_332005_URAN2_220_8",108,2520,"gas_ccgt"
"GEN_332005_URAN2_220_W1",120,2520,"gas_ccgt"
"GEN_332005_URAN2_220_W2",120,2520,"gas_ccgt"
"GEN_334044_RGPPL_400_1",640,2520,"gas_ccgt"
"GEN_334044_RGPPL_400_2",663.54,2520,"gas_ccgt"
"GEN_334044_RGPPL_400_3",663.54,2520,"gas_ccgt"
"GEN_334044_RGPPL_400_4",235,2520,"gas_ccgt"
"GEN_312044_ESSAR2_220_G1",110,4253.3692722372,"gas_ccgt"
"GEN_312044_ESSAR2_220_G2",110,4253.3692722372,"gas_ccgt"
"GEN_312044_ESSAR2_220_G3",110,4253.3692722372,"gas_ccgt"
"GEN_312044_ESSAR2_220_ST",185,4253.3692722372,"gas_ccgt"
"GEN_451017_BSES1_110_1",35.5,2943.39622641509,"gas_ccgt"
"GEN_451017_BSES1_110_2",40.5,2943.39622641509,"gas_ccgt"
"GEN_451017_BSES1_110_3",40.5,2943.39622641509,"gas_ccgt"
"GEN_451017_BSES1_110_4",40.5,2943.39622641509,"gas_ccgt"
"GEN_452010_KAYMKLM_220_1",126.7,6000,"gas_ccgt"
"GEN_452010_KAYMKLM_220_2",126.7,6000,"gas_ccgt"
"GEN_452010_KAYMKLM_220_3",144.5,6000,"gas_ccgt"
"GEN_151237_KHAMBAKH_132_1",45,4710,"other"
"GEN_151237_KHAMBAKH_132_2",45,4710,"other"
"GEN_151254_UTRAULA_132_1",45,4710,"other"
"GEN_151254_UTRAULA_132_2",45,4710,"other"
"GEN_151290_MAQSUDPR_132_1",45,4710,"other"
"GEN_151290_MAQSUDPR_132_2",45,4710,"other"
"GEN_151293_BARKHER_132_1",45,4710,"other"
"GEN_151293_BARKHER_132_2",45,4710,"other"
"GEN_151295_KUNDARK_132_1",45,4710,"other"
"GEN_151295_KUNDARK_132_2",45,4710,"other"
"GEN_151325_AKBCHIN_132_1",13,4900,"other"
"GEN_151326_BALRCHIN_132_1",25,4900,"other"
"GEN_151327_DCM01_132_1",20,4900,"other"
"GEN_151328_HAIDER01_132_1",20.25,4900,"other"
"GEN_151329_LHSUGAR0_132_1",22,4900,"other"
"GEN_151330_MANCHIN_132_1",25,4900,"other"
"GEN_151331_RAUCHIN_132_1",25,4900,"other"
"GEN_151332_TRIVEN01_132_1",20,4900,"other"
"GEN_151333_TRIVEN02_132_1",25,4900,"other"
"GEN_151334_KUMBH_132_1",13,4900,"other"
"GEN_151335_GULARI01_132_1",21.2,4900,"other"
"GEN_151336_JKSUGAR_132_1",13,4900,"other"
"GEN_151337_MAWANA01_132_1",20,4900,"other"
"GEN_151338_MAWANA02_132_1",13,4900,"other"
"GEN_151339_MAWANA03_132_1",13,4900,"other"
"GEN_151340_SBECBIO_132_1",12.45,4900,"other"
"GEN_151341_SIMBHO01_132_1",20,4900,"other"
"GEN_151342_SIMBHO02_132_1",20,4900,"other"
"GEN_151344_OUDH_132_1",10,4900,"other"
"GEN_151345_DALMI01_132_1",26,4900,"other"
"GEN_151346_DALMI02_132_1",26.15,4900,"other"
"GEN_151347_DALMI03_132_1",25,4900,"other"
"GEN_151348_KMSAGA_132_1",20,4900,"other"
"GEN_151349_DWARIK01_132_1",25,4900,"other"
"GEN_151350_DWARIK02_132_1",25,4900,"other"
"GEN_151351_SUKHBI_132_1",15,4900,"other"
"GEN_151352_BAJAJ02_132_1",13,4900,"other"
"GEN_151353_BAJAJ03_132_1",10,4900,"other"
"GEN_151354_BAJAJ04_132_1",10,4900,"other"
"GEN_151356_BAJAJ06_132_1",20,4900,"other"
"GEN_151357_BAJAJ07_132_1",13,4900,"other"
"GEN_151358_BAJAJ08_132_1",10,4900,"other"
"GEN_151359_BAJAJ09_132_1",13,4900,"other"
"GEN_151360_BAJAJ10_132_1",13,4900,"other"
"GEN_151361_DCM02_132_1",13,4900,"other"
"GEN_151362_DCM03_132_1",13,4900,"other"
"GEN_151363_UTTAM01_132_1",13,4900,"other"
"GEN_151364_UTTAM02_132_1",10,4900,"other"
"GEN_151365_DHAMPU01_132_1",25,4900,"other"
"GEN_151366_DHAMPU02_132_1",25,4900,"other"
"GEN_151367_DHAMPU03_132_1",20,4900,"other"
"GEN_151368_UPPERG_132_1",25.3,4900,"other"
"GEN_151369_CHADA_132_1",25,4900,"other"
"GEN_151370_DAURAL_132_1",20,4900,"other"
"GEN_151371_PARLE01_132_1",10,4900,"other"
"GEN_151372_NEWIND_132_1",20,4900,"other"
"GEN_151373_PARLE02_132_1",8.23,4900,"other"
"GEN_151374_LHSUGAR0_132_1",6,4900,"other"
"GEN_151375_GULARI02_132_1",10,4900,"other"
"GEN_151376_HAIDER02_132_1",3,4900,"other"
"GEN_151377_DCM04_132_1",7.5,4900,"other"
"GEN_351044_BAGRANG_132_1",16,4868.85245901639,"other"
"GEN_351057_MAHA-CL_132_1",10.8,4868.85245901639,"other"
"GEN_351085_JAGDMBA_132_1",25,4868.85245901639,"other"
"GEN_351086_GODVRI-P_132_1",55,4868.85245901639,"other"
"GEN_351088_NAKODA_132_1",18,4868.85245901639,"other"
"GEN_351089_SHARD-EN_132_1",62,4868.85245901639,"other"
"GEN_351092_HIRA-PL_132_1",20,4868.85245901639,"other"
"GEN_351092_HIRA-PL_132_2",8,4868.85245901639,"other"
"GEN_351092_HIRA-PL_132_3",20,4868.85245901639,"other"
"GEN_351093_BAJRNG-P_132_1",26,4868.85245901639,"other"
"GEN_351096_CSPL_132_1",30,4868.85245901639,"other"
"GEN_351097_PIL_132_1",65,4868.85245901639,"other"
"GEN_351103_MSP-STL_132_1",24,4868.85245901639,"other"
"GEN_351105_RL-I-LTD_132_1",12,4868.85245901639,"other"
"GEN_351114_SALASAR_132_1",70,4868.85245901639,"other"
"GEN_351115_SV-POWER_132_1",15,4868.85245901639,"other"
"GEN_411061_NELORION_132_1",0,5450,"gas_ct"
"GEN_411115_BHARAARD_132_1",83.9,5450,"gas_ct"
"GEN_411151_SRI-IES_132_1",31,5450,"gas_ct"
"GEN_411154_GBRPOANT_132_1",20,5450,"gas_ct"
"GEN_411160_VATSASA_132_1",17,5450,"gas_ct"
"GEN_411185_NCS_132_1",20,5450,"gas_ct"
"GEN_411196_CLARION_132_1",12,5450,"gas_ct"
"GEN_411222_RCL_132_1",45,5450,"gas_ct"
"GEN_412093_SRIBA_220_1",120,5450,"gas_ct"
"GEN_431245_MALIPURA_110_1",9,1328,"gas_ct"
"GEN_441061_ARORAN1_110_1",18.68,5050,"gas_ct"
"GEN_441062_ARUNAC1_110_1",19,5050,"gas_ct"
"GEN_441063_AURO1_110_1",16,5050,"gas_ct"
"GEN_441064_AURBIN1_110_1",15,5050,"gas_ct"
"GEN_441070_COROMN1_110_1",26.19,5050,"gas_ct"
"GEN_441100_PARSON1_110_1",30,5050,"gas_ct"
"GEN_441104_RAJSRE11_110_1",20,5050,"gas_ct"
"GEN_441105_RAJSRE21_110_1",15,5050,"gas_ct"
"GEN_441106_SAHELI1_110_1",8.81,5050,"gas_ct"
"GEN_441120_VGTPP1_110_1",60,2340,"gas_ct"
"GEN_441120_VGTPP1_110_2",35,2340,"gas_ct"
"GEN_441120_VGTPP1_110_3",60,2340,"gas_ct"
"GEN_441120_VGTPP1_110_4",32,2340,"gas_ct"
"GEN_441125_CPCL1_110_1",5,5050,"gas_ct"
"GEN_441127_MMSTEEL_110_1",19,5050,"gas_ct"
"GEN_441128_KAVERI_110_1",6.79,3500,"gas_ct"
"GEN_441129_SAIGENCY_110_1",58,5050,"gas_ct"
"GEN_441136_DARAOLUR_110_1",10,6126.08695652174,"gas_ct"
"GEN_441161_BBGTPP1_110_1",30,15110,"gas_ct"
"GEN_441161_BBGTPP1_110_2",30,15110,"gas_ct"
"GEN_441161_BBGTPP1_110_3",30,15110,"gas_ct"
"GEN_441161_BBGTPP1_110_4",30,15110,"gas_ct"
"GEN_441220_KZTR_110_1",25,6126.08695652174,"gas_ct"
"GEN_441221_ARKAY1_110_1",60,3500,"gas_ct"
"GEN_441221_ARKAY1_110_2",60,3500,"gas_ct"
"GEN_521041_PALAPOL1_132_1",5.3,5055.00894133382,"gas_ct"
"GEN_521058_LTPS1_132_1",15,3770,"gas_ct"
"GEN_521058_LTPS1_132_2",15,3770,"gas_ct"
"GEN_521058_LTPS1_132_3",15,3770,"gas_ct"
"GEN_521058_LTPS1_132_4",15,4822.7616191904,"gas_ct"
"GEN_521058_LTPS1_132_5",20,3770,"gas_ct"
"GEN_521058_LTPS1_132_6",20,3770,"gas_ct"
"GEN_521058_LTPS1_132_7",20,3770,"gas_ct"
"GEN_521059_NTPS1_132_1",20,3540,"gas_ct"
"GEN_521059_NTPS1_132_2",21,3540,"gas_ct"
"GEN_521059_NTPS1_132_3",21,3540,"gas_ct"
"GEN_521059_NTPS1_132_4",11,3540,"gas_ct"
"GEN_521059_NTPS1_132_6",22,3540,"gas_ct"
"GEN_570012_ROKHIA6_66_1",22,2880,"gas_ct"
"GEN_570012_ROKHIA6_66_2",22,2880,"gas_ct"
"GEN_570012_ROKHIA6_66_3",22,2880,"gas_ct"
"GEN_570013_BARAMRA6_66_1",21,2700,"gas_ct"
"GEN_570013_BARAMRA6_66_2",21,2700,"gas_ct"
"GEN_571002_MONARCHK1_132_GT",65,4250,"gas_ct"
"GEN_571006_ROKHIA1_132_1",22,2880,"gas_ct"
"GEN_571006_ROKHIA1_132_2",22,2880,"gas_ct"
"GEN_571006_ROKHIA1_132_3",22,2880,"gas_ct"
"GEN_571009_BARMURA1_132_1",21,2700,"gas_ct"
"GEN_571009_BARMURA1_132_2",21,2700,"gas_ct"
"GEN_351014_SILTARA_132_1",14,5055.00894133382,"diesel"
"GEN_351034_KVK_132_1",15,5055.00894133382,"diesel"
"GEN_351087_VANDANA_132_1",41,5055.00894133382,"diesel"
"GEN_352006_SILTARA_220_1",30,5055.00894133382,"diesel"
"GEN_411161_LVSPOECT_132_1",36,5422.01299383835,"diesel"
"GEN_412096_LVS_220_1",37,5422.01299383835,"diesel"
"GEN_431084_CORESUG_110_1",24,1200,"diesel"
"GEN_431107_GEMSUG_110_1",16.5,4968.75,"diesel"
"GEN_431113_GMRSUG_110_1",5,4968.75,"diesel"
"GEN_431162_INDSUG_110_1",9,4968.75,"diesel"
"GEN_431164_JMKHNSUG_110_1",17.5,4968.75,"diesel"
"GEN_431165_JANAKI_110_1",15,4968.75,"diesel"
"GEN_431172_KSUGARS_110_1",18,4968.75,"diesel"
"GEN_431214_KONAJE_110_1",25,4968.75,"diesel"
"GEN_431264_MGSSK_110_1",13,4968.75,"diesel"
"GEN_431288_NNDISUG_110_1",18.1,4968.75,"diesel"
"GEN_431303_NPC_110_1",12,4968.75,"diesel"
"GEN_431304_NCLSUGR_110_1",34,4968.75,"diesel"
"GEN_431305_NSSK_110_1",8,4968.75,"diesel"
"GEN_431323_RNKASUGR_110_1",25.5,4968.75,"diesel"
"GEN_431324_RNKSUGR2_110_1",38,4968.75,"diesel"
"GEN_431326_ROYALSEMA_110_1",12.35,4968.75,"diesel"
"GEN_431326_ROYALSEMA_110_2",12.35,4968.75,"diesel"
"GEN_431326_ROYALSEMA_110_3",12.35,4968.75,"diesel"
"GEN_431327_SDSHVSUG_110_1",15.5,4968.75,"diesel"
"GEN_431374_SGNANSWR_110_1",13.5,4968.75,"diesel"
"GEN_431397_UGARSUGR_110_1",44,4968.75,"diesel"
"GEN_431397_UGARSUGR_110_2",15.5,4968.75,"diesel"
"GEN_431408_VSPL_110_1",32,4968.75,"diesel"
"GEN_431440_DOODGNGA_110_1",24,4968.75,"diesel"
"GEN_431450_HEERSUGR_110_1",46.25,4968.75,"diesel"
"GEN_431456_ICPL_110_1",28,4968.75,"diesel"
"GEN_431483_NRNSUGRS_110_1",42,4968.75,"diesel"
"GEN_431497_SHVSKTH_110_1",12,4968.75,"diesel"
"GEN_431514_VENKTSUGR_110_1",10,5450,"diesel"
"GEN_431519_NSLSUGAR_110_1",25.31,5800,"diesel"
"GEN_431551_TATA_110_1",16.26,5460,"diesel"
"GEN_431551_TATA_110_2",16.26,5460,"diesel"
"GEN_431551_TATA_110_3",16.26,5460,"diesel"
"GEN_431551_TATA_110_4",16.26,5460,"diesel"
"GEN_431551_TATA_110_5",16.26,5460,"diesel"
"GEN_431554_PRBLGSWR_110_1",38.4,4968.75,"diesel"
"GEN_431556_VSWNTSGR_110_1",37,4968.75,"diesel"
"GEN_432126_YLNKA_220_1",120,4968.75,"diesel"
"GEN_441065_BANARA1_110_1",28.8,5050,"diesel"
"GEN_441071_DANALKM1_110_1",25,5050,"diesel"
"GEN_441072_DHARAN1_110_1",22,5050,"diesel"
"GEN_441073_EIDPAR1_110_1",18,5050,"diesel"
"GEN_441074_EIDPUDK_110_1",18,5050,"diesel"
"GEN_441075_EIDPUGL_110_1",22,5050,"diesel"
"GEN_441076_EMPEE1_110_1",50,5050,"diesel"
"GEN_441079_INDBAR1_110_1",20,5050,"diesel"
"GEN_441084_KOTHAR1_110_1",20,5050,"diesel"
"GEN_441085_KOTHAR21_110_2",25,5050,"diesel"
"GEN_441094_MCL1_110_1",36,5050,"diesel"
