fuel,operational_type,technology,fuel,suffix
HYDRO-ROR,gen_var_must_take,Hydro_ROR,,hydro_ror
SUBCRITICAL-COAL,gen_commit_cap,Subcritical_Coal,Coal,subcritical_coal
HYDRO-STORAGE,hydro_must_take,Hydro_Storage,,hydro_storage
SUPERCRITICAL-COAL,gen_commit_cap,Supercritical_Coal,Coal,supercritical_coal
CCGT-GAS,gen_commit_cap,CCGT,Gas,ccgt
WIND,gen_var,Wind,,wind
NUCLEAR,gen_must_run,Nuclear,Uranium,nuclear
COGENERATION-BAGASSE,gen_commit_cap,Biomass,Biomass,biomass
HYDRO-PONDAGE,gen_var_must_take,Hydro_ROR,,hydro_ror
HYDRO-PUMPED,stor,Hydro_Pumped,,hydro_pumped
CCGT-LNG,gen_commit_cap,CCGT,Gas,ccgt
SUBCRITICAL-LIGNITE,gen_commit_cap,Subcritical_Coal,Coal,subcritical_coal
CCGT-NAPTHA,gen_commit_cap,CCGT,Gas,ccgt
SOLAR-PV,gen_var,Solar_PV,,solar_pv
WHR,gen_commit_cap,WHR,Waste_Heat,whr
DIESEL,gen_commit_cap,Diesel,Diesel,diesel
CT-GAS,gen_commit_cap,CT,Gas,ct
SUBCRITICAL-OIL,gen_commit_cap,Subcritical_Oil,Oil,subcritical_oil